symbol,time,action,price,actual_price,shares,gross_value,commission,slippage_cost,net_value,gross_pnl,net_pnl,gross_return,net_return
CRSP,2024-02-21 15:44:00,BUY,81.92,82.00192,246,20172.47232,1.23,20.15231999999918,20173.70232,,,,
CRSP,2024-02-22 15:00:00,NEXT_DAY_EXIT,88.955,88.866045,246,21861.04707,1.23,21.882929999999646,21859.81707,1730.6099999999992,1686.1147499999995,0.08587646484374996,0.08357983692107931
AMD,2024-02-21 15:52:00,BUY,163.18,163.34318,165,26951.624699999997,1.0,26.92469999999716,26952.624699999997,,,,
AMD,2024-02-22 15:00:00,NEXT_DAY_EXIT,183.288,183.104712,165,30212.27748,1.0,30.242520000000752,30211.27748,3317.8200000000006,3258.65278,0.12322588552518693,0.12090298500687392
LYV,2024-02-22 15:52:00,BUY,92.9996,93.09259959999999,624,58089.78215039999,3.12,58.031750399990415,58092.90215039999,,,,
LYV,2024-02-23 15:00:00,NEXT_DAY_EXIT,95.395,95.299605,624,59466.95352,3.12,59.52647999999772,59463.83352,1494.729599999997,1370.9313695999992,0.025757100030537713,0.023598947872335893
LLY,2024-02-22 15:59:00,BUY,769.93,770.6999299999999,25,19267.498249999997,1.0,19.24824999999828,19268.498249999997,,,,
LLY,2024-02-23 15:23:00,NEXT_DAY_EXIT,765.085,764.319915,25,19107.997875,1.0,19.127124999999978,19106.997875,-121.12499999999784,-161.5003749999978,-0.006292779863104326,-0.00838157561137375
SMCI,2024-02-23 16:03:00,BUY,87.3995,87.48689949999999,318,27820.834041,1.59,27.793040999996634,27822.424041,,,,
SMCI,2024-02-26 15:00:00,NEXT_DAY_EXIT,87.823,87.735177,318,27899.786286,1.59,27.927714000000066,27898.196286,134.67299999999682,75.77224499999674,0.004845565478063261,0.002723423555342855
ESTC,2024-02-26 15:47:00,BUY,130.77,130.90077,96,12566.47392,1.0,12.55391999999847,12567.47392,,,,
ESTC,2024-02-27 15:00:00,NEXT_DAY_EXIT,131.75,131.61825,96,12635.351999999999,1.0,12.648000000001048,12634.351999999999,94.07999999999902,66.87807999999796,0.007494073564273072,0.005321521287867367
MARA,2024-02-28 16:00:00,BUY,31.45,31.481449999999995,594,18699.981299999996,2.97,18.681299999997613,18702.951299999997,,,,
MARA,2024-02-29 10:56:00,STOP_LOSS,28.22,28.191779999999998,594,16745.91732,2.97,16.762680000000607,16742.94732,-1918.6200000000003,-1960.003980000001,-0.10270270270270272,-0.1047965077041077
RNA,2024-03-01 16:05:00,BUY,20.18,20.200179999999996,960,19392.172799999997,4.8,19.37279999999646,19396.972799999996,,,,
RNA,2024-03-04 15:00:00,NEXT_DAY_EXIT,19.0,18.981,960,18221.760000000002,4.8,18.239999999998417,18216.960000000003,-1132.7999999999997,-1180.0127999999982,-0.05847373637264617,-0.06083489481410203
DVA,2024-03-04 16:03:00,BUY,125.48,125.60547999999999,156,19594.454879999998,1.0,19.574879999997165,19595.454879999998,,,,
DVA,2024-03-05 15:00:00,NEXT_DAY_EXIT,134.165,134.030835,156,20908.81026,1.0,20.929739999999356,20907.81026,1354.859999999998,1312.3553799999988,0.06921421740516408,0.06697243764111072
